Enfermero,Nodo,Valor
5001,10,1
5001,1,1
5001,1006,1
5001,1013,1
5001,1021,1
5001,1022,1
5001,1024,1
5001,1038,1
5001,1053,1
5001,1057,1
5002,10,1
5002,1,1
5002,1005,1
5002,1007,1
5002,1011,1
5002,1015,1
5002,1018,1
5002,1037,1
5002,1039,1
5002,1052,1
5002,1081,1
5003,20,1
5003,2,1
5003,1004,1
5003,1010,1
5003,1014,1
5003,1017,1
5003,1020,1
5003,1023,1
5003,1041,1
5003,1055,1
5004,20,1
5004,2,1
5004,1012,1
5004,1016,1
5004,1051,1
5004,1054,1
5004,1068,1
5005,30,1
5005,3,1
5006,30,1
5006,3,1
5007,30,1
5007,3,1
5007,1056,1
5007,1073,1
5007,1074,1
5007,1077,1
5008,30,1
5008,3,1
5008,1069,1
5008,1082,1
5008,1083,1
5009,30,1
5009,3,1
5009,1076,1
5009,1078,1
5009,1079,1
5010,30,1
5010,3,1
5011,30,1
5011,3,1
5012,30,1
5012,3,1
5013,30,1
5013,3,1
5013,1019,1
5013,1025,1
5013,1071,1
5013,1075,1
5014,30,1
5014,3,1
5015,30,1
5015,3,1
5016,30,1
5016,3,1
5017,30,1
5017,3,1
